ensembl_gene_id;gene_symbol
ENSRNOG00000013331;Sdha
ENSRNOG00000033611;Wdr83os
ENSRNOG00000048981;Ahsa1
ENSRNOG00000003150;Mpc2
ENSRNOG00000019113;Hnrnpk
ENSRNOG00000018343;Isca1
ENSRNOG00000003983;Pfdn2
ENSRNOG00000004846;Atp6v1c1
ENSRNOG00000037627;Trappc1
ENSRNOG00000001201;Cstb
ENSRNOG00000013545;Polr2e
ENSRNOG00000043419;Hist3h2ba
ENSRNOG00000008761;Ncs1
ENSRNOG00000014208;Dctn3
ENSRNOG00000049920;Psma2
ENSRNOG00000029784;Pak1
ENSRNOG00000055572;Idh3g
ENSRNOG00000009760;Palm
